Issue Type,Issue key,Issue id,Summary,Status,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Подготовка актов и счетов,BUH-119430,1279974,Выставление актов: проценты по займу за май 2026 - ADM-51574,Waiting for Pay,отправлено,mariya.saveleva,,,ekaterina.fomina,03.06.2026 17:05,,,mariya.saveleva,,-,31.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-119354,1279361,Выставление актов: CBQ2500003,Waiting for Pay,,Alexandr.Voronkov,,,mariya.saveleva,02.06.2026 16:41,31.05.2026 00:00,,mariya.saveleva,,D_CBQ2500003/7,31.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-119352,1279357,Выставление актов: CBQ2500003,Waiting for Pay,,Alexandr.Voronkov,,,mariya.saveleva,02.06.2026 16:39,31.05.2026 00:00,,mariya.saveleva,,D_CBQ2500004/7,31.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-119256,1278472,Выставление актов: VISAUAE2600033,Waiting for Pay,,anastasiya.lysenko,,,mariya.saveleva,01.06.2026 14:20,,,mariya.saveleva,,D_VISAUAE2600033/5,31.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-119003,1275005,Выставление актов: VISAUAE2600038,Waiting for Pay,,anastasiya.pisareva,,,n.chubukinasolovey,22.05.2026 14:03,,,n.chubukinasolovey,,D_VISAUAE2600039/3,25.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-119002,1274989,Выставление актов: VISAUAE2500031,Waiting for Pay,,anastasiya.pisareva,,,n.chubukinasolovey,22.05.2026 13:51,,,n.chubukinasolovey,,D_VISAUAE2500026/8,25.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118733,1271403,Выставление актов: UZPSB2500008,Wait Act/Pay,,sofiya.adzhiniyazova,,,mariya.saveleva,14.05.2026 09:40,,,mariya.saveleva,,D_UZPSB2500006/2,21.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118661,1270802,Выставление актов: VMWR2500002 (Q4),Waiting for Pay,,dmitriy.antipov,,,mariya.saveleva,13.05.2026 07:37,,,mariya.saveleva,,D_VMWR2500007/2.4,15.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118627,1270398,Выставление актов: CBQ2500003,Waiting for Pay,,Alexandr.Voronkov,,,mariya.saveleva,12.05.2026 12:36,30.04.2026 00:00,,mariya.saveleva,,D_CBQ2500003/6,30.04.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118625,1270395,Выставление актов: CBQ2500003,Waiting for Pay,,Alexandr.Voronkov,,,mariya.saveleva,12.05.2026 12:35,30.04.2026 00:00,,mariya.saveleva,,D_CBQ2500004/6,30.04.2026 00:00,DBFZ - Databorn FZ LLC,
