Issue Type,Issue key,Issue id,Summary,Status,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Прочее,ADM-70389,1281981,Письмо в Консульство Саудовской Аравии в Москве,ADM Согл Ю+Б,,,,,,,,maria.kharlamova,,,,08.06.2026 17:43,,,marina.kobzeva,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-70377,1281824,RMR - NDA DBFZ,ADM Согл Ю+Б,НР,ОАЭ,,,,,,olga.lazovskaya,,,,08.06.2026 14:09,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70358,1281698,DBSA. Обновить данные на портале Chamber,ADM Согл Ю+Б,ОАЭ,,,,,,,zhanna.pavlova,,,,08.06.2026 12:25,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-70342,1281384,Шорников NDA DBFZ с физ лицом,ADM Согл с КА,ОАЭ,,,,,,,nina.li,,,,05.06.2026 19:09,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70320,1281291,Anthropic - Claude Partner Network Agreement DBFZ,ADM Согл Ю+Б,ОАЭ,обработано,,,,,,olga.lazovskaya,,,,05.06.2026 16:30,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70315,1281239,DBFZ. Проведение оплат через 4dev,ADM Согл ЮР,ОАЭ,,,,,,,n.chubukinasolovey,,,,05.06.2026 15:05,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70314,1281237,DBSA: Conflict of Interest for STC Partnershub,ADM Согл Ю+Б,ОАЭ,обработано,,,,,,eva.uglova,,,,05.06.2026 15:02,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-70312,1281233,DBSA: Code of Conduct for STC Partnershub,ADM Согл БУ,МА,ОАЭ,,,,,,eva.uglova,,,,05.06.2026 15:00,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-70310,1281213,DBFZ: подготовка ДС к ТД,ADM Согл Ю+Б,ОАЭ,,,,,,,alisa.serobyan,,,,05.06.2026 14:41,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70272,1280716,DBFZ. Активация аккаунта HubPay Business,ADM Согл с КА,ОАЭ,,,,,,,n.chubukinasolovey,,,,04.06.2026 15:42,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
